"freq","eq","stat","rec"
0.1,-0.001382031,0.038912395,0.050501959
0.133333333333333,0.0408828677345119,0.0389234245079294,0.0438068159460903
0.2,0.149646882019338,0.0498543286287587,0.0269560271197809
0.25,0.15745688432753,0.0902654307793125,0.0770173111938468
0.333333333333333,0.175449185129322,0.0914522868089457,0.089026976190199
0.5,0.189070912915257,0.101841125228643,0.130365342406396
0.666666666666667,0.227231869010547,0.142926425923415,0.217235059301306
1,0.318318018,0.263604539,0.304965588
1.33333333333333,0.40043733715799,0.358806616576119,0.377136740667633
2,0.601943109158859,0.513150861598095,0.486204580375
2.5,0.718879796417024,0.609550991066567,0.541173463404918
3.33333333333333,0.84616292339093,0.734205433016461,0.625850355057562
4,0.919429986682968,0.819317241468602,0.692757606167711
5,0.999327014947172,0.995727924232214,0.988722487432823
6.66666666666667,0.89741504965157,0.810401979734397,0.703010830604691
10,0.7421684,0.656680255,0.587838352
13.3333333333333,0.638275508180268,0.541458099003628,0.480628677073768
20,0.532902805961305,0.39905337681535,0.325328727600158
